2026-08-07T19:17:45.554+05:00  INFO 1 --- [           main] c.d.student.StudentBotApplication        : Starting StudentBotApplication v1.0.0 using Java 21.0.11 with PID 1 (/app/app.jar started by root in /app)
tgbot-postgres  | 2026-08-05 23:10:07.025 UTC [92947] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-05 23:11:36.006 UTC [93068] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-05 23:11:36.006 UTC [93068] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-05 23:13:05.848 UTC [93196] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-05 23:13:05.848 UTC [93196] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-05 23:14:33.945 UTC [93317] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-05 23:14:33.945 UTC [93317] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 01:34:50.950 UTC [105171] LOG:  invalid length of startup packet
tgbot-postgres  | 2026-08-06 02:22:50.952 UTC [109226] LOG:  could not receive data from client: Connection reset by peer
tgbot-postgres  | 2026-08-06 02:22:59.586 UTC [109241] LOG:  could not receive data from client: Connection reset by peer
tgbot-postgres  | 2026-08-06 10:44:49.249 UTC [151497] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-06 10:44:49.249 UTC [151497] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 10:44:49.438 UTC [151498] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-06 10:44:49.438 UTC [151498] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 10:44:49.605 UTC [151499] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-06 10:44:49.605 UTC [151499] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 12:26:32.045 UTC [25] LOG:  checkpoint starting: time
tgbot-postgres  | 2026-08-06 12:26:32.260 UTC [25] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.203 s, sync=0.005 s, total=0.216 s; sync files=3, longest=0.003 s, average=0.002 s; distance=3 kB, estimate=3 kB; lsn=0/1A4B7F0, redo lsn=0/1A4B7B8
tgbot-postgres  | 2026-08-06 13:54:23.164 UTC [167474] LOG:  invalid length of startup packet
tgbot-postgres  | 2026-08-06 13:54:23.187 UTC [167482] LOG:  invalid length of startup packet
tgbot-postgres  | 2026-08-06 13:54:23.210 UTC [167483] FATAL:  unsupported frontend protocol 65363.19778: server supports 3.0 to 3.0
tgbot-postgres  | 2026-08-06 15:02:35.244 UTC [173240] FATAL:  password authentication failed for user "pgg_superadmins"
tgbot-postgres  | 2026-08-06 15:02:35.244 UTC [173240] DETAIL:  Role "pgg_superadmins" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 15:02:35.252 UTC [173243] FATAL:  password authentication failed for user "wog"
tgbot-postgres  | 2026-08-06 15:02:35.252 UTC [173243] DETAIL:  Role "wog" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 15:02:35.259 UTC [173244] FATAL:  password authentication failed for user "postgres"
tgbot-postgres  | 2026-08-06 15:02:35.259 UTC [173244] DETAIL:  Role "postgres" does not exist.
tgbot-postgres  |       Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
tgbot-postgres  | 2026-08-06 15:02:45.923 UTC [173239] FATAL:  password authentication failed for user "pgg_superadmins"
